由邢不行整理，2020新版|Python数字货币量化投资课程示例文件
candle_begin_time,open,high,low,close,volume
2020-03-02 00:06:00+00:00,8509.2,8509.2,8499.2,8499.2,25.30017108
2020-03-02 00:07:00+00:00,8499.2,8507.8,8499.2,8505.9,23.88238039
2020-03-02 00:08:00+00:00,8505.9,8516.6,8505.6,8516.3,26.38186328
2020-03-02 00:09:00+00:00,8516.2,8524.2,8515.1,8518.8,11.17163627
2020-03-02 00:10:00+00:00,8518.9,8518.9,8508.7,8517.0,12.040533
2020-03-02 00:11:00+00:00,8516.9,8521.1,8516.2,8519.1,28.42881017
2020-03-02 00:12:00+00:00,8519.1,8519.1,8512.3,8514.9,8.48244633
2020-03-02 00:13:00+00:00,8514.9,8520.1,8513.7,8520.0,4.11477105
2020-03-02 00:14:00+00:00,8520.0,8523.1,8519.2,8523.1,38.90773975
2020-03-02 00:15:00+00:00,8523.0,8526.8,8523.0,8526.5,29.03361499
2020-03-02 00:16:00+00:00,8526.5,8536.6,8519.2,8532.9,12.40591747
2020-03-02 00:17:00+00:00,8533.0,8547.1,8533.0,8540.1,50.87704188
2020-03-02 00:18:00+00:00,8540.0,8547.2,8539.8,8539.8,19.93362784
2020-03-02 00:19:00+00:00,8539.8,8544.0,8539.6,8542.0,17.21814785
2020-03-02 00:20:00+00:00,8542.0,8549.9,8541.4,8541.5,24.97447534
2020-03-02 00:21:00+00:00,8541.5,8541.5,8534.1,8535.9,21.16665533
2020-03-02 00:22:00+00:00,8536.2,8538.2,8531.0,8538.2,25.15780974
2020-03-02 00:23:00+00:00,8538.2,8538.2,8534.2,8535.2,16.38649178
2020-03-02 00:24:00+00:00,8536.1,8540.7,8527.2,8539.0,19.38024433
2020-03-02 00:25:00+00:00,8538.9,8547.9,8536.9,8544.9,17.17953826
2020-03-02 00:26:00+00:00,8544.9,8548.8,8544.8,8546.9,22.29310139
2020-03-02 00:27:00+00:00,8546.8,8548.0,8542.1,8543.7,20.47622686
2020-03-02 00:28:00+00:00,8543.6,8544.9,8537.6,8537.6,21.96243645
2020-03-02 00:29:00+00:00,8537.5,8537.9,8533.2,8534.1,7.45813917
2020-03-02 00:30:00+00:00,8534.1,8542.9,8533.3,8542.9,34.40415053
2020-03-02 00:31:00+00:00,8542.9,8549.2,8542.1,8548.0,10.99223637
2020-03-02 00:32:00+00:00,8547.5,8553.8,8546.6,8546.7,17.56926015
2020-03-02 00:33:00+00:00,8545.5,8551.5,8542.4,8550.5,5.80611726
2020-03-02 00:34:00+00:00,8550.5,8551.1,8545.1,8546.5,23.72637616
2020-03-02 00:35:00+00:00,8545.4,8560.0,8543.6,8558.3,20.58671134
2020-03-02 00:36:00+00:00,8558.2,8559.9,8554.0,8559.8,17.18010328
2020-03-02 00:37:00+00:00,8559.8,8567.3,8559.8,8564.5,18.48570222
2020-03-02 00:38:00+00:00,8564.6,8570.5,8558.4,8558.5,46.5501601
2020-03-02 00:39:00+00:00,8558.4,8562.2,8553.8,8559.2,41.78923851
2020-03-02 00:40:00+00:00,8559.6,8559.6,8553.5,8555.3,21.57326632
2020-03-02 00:41:00+00:00,8555.3,8558.8,8548.7,8558.8,13.35942572
2020-03-02 00:42:00+00:00,8558.9,8560.9,8554.6,8554.6,52.56413827
2020-03-02 00:43:00+00:00,8554.5,8557.0,8549.2,8551.5,6.92012413
2020-03-02 00:44:00+00:00,8551.1,8557.0,8550.9,8555.2,9.74334733
2020-03-02 00:45:00+00:00,8556.7,8559.5,8548.9,8548.9,39.34948446
2020-03-02 00:46:00+00:00,8548.8,8550.7,8546.1,8549.5,20.84724086
2020-03-02 00:47:00+00:00,8549.4,8549.5,8545.1,8547.5,12.37066504
2020-03-02 00:48:00+00:00,8547.5,8555.7,8547.5,8552.3,18.31729645
2020-03-02 00:49:00+00:00,8552.3,8552.3,8546.2,8548.3,21.28192764
2020-03-02 00:50:00+00:00,8548.3,8549.5,8544.5,8549.3,12.35681508
2020-03-02 00:51:00+00:00,8549.2,8563.6,8548.1,8562.3,38.26542208
2020-03-02 00:52:00+00:00,8562.6,8571.6,8562.6,8570.3,10.0973171
2020-03-02 00:53:00+00:00,8570.3,8570.3,8562.5,8569.4,7.19980153
2020-03-02 00:54:00+00:00,8569.6,8570.1,8564.6,8565.9,7.10715421
2020-03-02 00:55:00+00:00,8565.9,8570.1,8565.7,8565.8,3.83543619
2020-03-02 00:56:00+00:00,8565.8,8565.8,8557.3,8558.6,11.88848897
2020-03-02 00:57:00+00:00,8558.6,8567.7,8557.2,8566.5,12.46357597
2020-03-02 00:58:00+00:00,8567.0,8567.0,8557.6,8560.5,6.84506494
2020-03-02 00:59:00+00:00,8560.5,8561.8,8558.0,8558.0,3.05847208
2020-03-02 01:00:00+00:00,8557.9,8560.7,8548.5,8550.7,29.46931371
2020-03-02 01:01:00+00:00,8550.7,8551.7,8542.8,8542.8,11.02347109
2020-03-02 01:02:00+00:00,8542.9,8552.0,8542.9,8552.0,11.21600669
2020-03-02 01:03:00+00:00,8552.0,8552.0,8543.8,8547.0,6.58197079
2020-03-02 01:04:00+00:00,8546.2,8548.5,8545.8,8548.4,2.49978199
2020-03-02 01:05:00+00:00,8547.7,8548.8,8547.1,8547.5,5.10506782
2020-03-02 01:06:00+00:00,8547.2,8547.2,8539.9,8541.6,4.20354564
2020-03-02 01:07:00+00:00,8541.5,8552.0,8539.4,8549.3,30.56177271
2020-03-02 01:08:00+00:00,8550.0,8550.0,8544.2,8545.8,19.99462043
2020-03-02 01:09:00+00:00,8545.0,8548.6,8544.3,8546.3,14.41923276
2020-03-02 01:10:00+00:00,8545.4,8550.5,8544.7,8544.7,3.68663488
2020-03-02 01:11:00+00:00,8544.3,8546.7,8542.8,8545.2,5.66977677
2020-03-02 01:12:00+00:00,8545.0,8546.0,8544.1,8545.6,6.25564185
2020-03-02 01:13:00+00:00,8545.1,8545.2,8532.6,8532.7,9.25575584
2020-03-02 01:14:00+00:00,8532.7,8542.7,8532.7,8542.6,16.18474658
2020-03-02 01:15:00+00:00,8542.6,8545.5,8541.4,8542.1,4.05147227
2020-03-02 01:16:00+00:00,8542.0,8542.0,8528.2,8530.3,25.51609919
2020-03-02 01:17:00+00:00,8530.3,8532.4,8528.5,8528.5,19.7963355
2020-03-02 01:18:00+00:00,8528.6,8535.1,8528.6,8535.1,30.70308019
2020-03-02 01:19:00+00:00,8535.4,8536.2,8532.8,8533.8,15.31529182
